-1 1:5.9 2:3 3:5.1 4:1.8
1 1:5.6 2:2.7 3:4.2 4:1.3
1 1:5 2:2.299999999999999744 3:3.3 4:1
1 1:6.3 2:2.5 3:4.9 4:1.5
-1 1:6 2:2.200000000000000256 3:5 4:1.5
-1 1:7.2 2:3 3:5.8 4:1.6
1 1:5.4 2:3 3:4.5 4:1.5
1 1:6.1 2:3 3:4.599999999999999488 4:1.4
-1 1:7.7 2:3 3:6.1 4:2.299999999999999744
1 1:6.3 2:2.299999999999999744 3:4.400000000000000512 4:1.3
-1 1:6.9 2:3.1 3:5.4 4:2.1
-1 1:6.8 2:3.2 3:5.9 4:2.299999999999999744
1 1:6.7 2:3.1 3:4.400000000000000512 4:1.4
1 1:5.8 2:2.7 3:4.099999999999999488 4:1
-1 1:6.8 2:3 3:5.5 4:2.1
-1 1:6.2 2:2.8 3:4.8 4:1.8
1 1:6.9 2:3.1 3:4.9 4:1.5
1 1:5.7 2:3 3:4.2 4:1.2
-1 1:7.7 2:3.8 3:6.7 4:2.200000000000000256
1 1:6.6 2:2.9 3:4.599999999999999488 4:1.3
1 1:6.2 2:2.200000000000000256 3:4.5 4:1.5
-1 1:6.7 2:2.5 3:5.8 4:1.8
-1 1:5.6 2:2.8 3:4.9 4:2
1 1:5.7 2:2.6 3:3.5 4:1
1 1:5.7 2:2.9 3:4.2 4:1.3
-1 1:6.4 2:2.8 3:5.6 4:2.1
1 1:5.9 2:3 3:4.2 4:1.5
1 1:4.9 2:2.4 3:3.3 4:1
1 1:6.5 2:2.8 3:4.599999999999999488 4:1.5
1 1:6.7 2:3 3:5 4:1.7
-1 1:7.7 2:2.6 3:6.9 4:2.299999999999999744
1 1:5.2 2:2.7 3:3.9 4:1.4
-1 1:7.9 2:3.8 3:6.4 4:2
-1 1:6.7 2:3 3:5.2 4:2.299999999999999744
-1 1:6.9 2:3.2 3:5.7 4:2.299999999999999744
-1 1:7.2 2:3.2 3:6 4:1.8
1 1:5.5 2:2.5 3:4 4:1.3
-1 1:7.7 2:2.8 3:6.7 4:2
1 1:6.1 2:2.9 3:4.7 4:1.4
1 1:5.6 2:2.5 3:3.9 4:1.100000000000000128
-1 1:7.6 2:3 3:6.6 4:2.1
-1 1:6.3 2:2.8 3:5.1 4:1.5
-1 1:5.8 2:2.8 3:5.1 4:2.4
1 1:6 2:2.9 3:4.5 4:1.5
-1 1:6.3 2:3.4 3:5.6 4:2.4
1 1:6.3 2:3.3 3:4.7 4:1.6
1 1:5.7 2:2.8 3:4.5 4:1.3
1 1:5.5 2:2.4 3:3.7 4:1
1 1:5.6 2:2.9 3:3.6 4:1.3
1 1:5.9 2:3.2 3:4.8 4:1.8
1 1:5.5 2:2.4 3:3.8 4:1.100000000000000128
1 1:7 2:3.2 3:4.7 4:1.4
-1 1:6.4 2:3.2 3:5.3 4:2.299999999999999744
-1 1:6.4 2:2.8 3:5.6 4:2.200000000000000256
1 1:5.8 2:2.7 3:3.9 4:1.2
-1 1:4.9 2:2.5 3:4.5 4:1.7
-1 1:6.9 2:3.1 3:5.1 4:2.299999999999999744
-1 1:6.2 2:3.4 3:5.4 4:2.299999999999999744
-1 1:6 2:3 3:4.8 4:1.8
1 1:6 2:3.4 3:4.5 4:1.6
-1 1:6.7 2:3.1 3:5.6 4:2.4
-1 1:5.8 2:2.7 3:5.1 4:1.9
-1 1:6.5 2:3 3:5.5 4:1.8
1 1:5.7 2:2.8 3:4.099999999999999488 4:1.3
1 1:5 2:2 3:3.5 4:1
1 1:5.1 2:2.5 3:3 4:1.100000000000000128
-1 1:6.3 2:2.9 3:5.6 4:1.8
-1 1:6.7 2:3.3 3:5.7 4:2.1
1 1:6 2:2.200000000000000256 3:4 4:1
1 1:6.1 2:2.8 3:4.7 4:1.2
1 1:5.6 2:3 3:4.099999999999999488 4:1.3
1 1:6.1 2:2.8 3:4 4:1.3
1 1:6.8 2:2.8 3:4.8 4:1.4
-1 1:7.1 2:3 3:5.9 4:2.1
-1 1:6.1 2:2.6 3:5.6 4:1.4
1 1:5.5 2:2.299999999999999744 3:4 4:1.3
1 1:6.4 2:3.2 3:4.5 4:1.5
-1 1:7.3 2:2.9 3:6.3 4:1.8
-1 1:6.3 2:3.3 3:6 4:2.5
-1 1:6.1 2:3 3:4.9 4:1.8
1 1:5.6 2:3 3:4.5 4:1.5
-1 1:5.8 2:2.7 3:5.1 4:1.9
1 1:6.7 2:3.1 3:4.7 4:1.5
-1 1:6.3 2:2.7 3:4.9 4:1.8
1 1:6 2:2.7 3:5.1 4:1.6
-1 1:7.2 2:3.6 3:6.1 4:2.5
-1 1:6.4 2:3.1 3:5.5 4:1.8
1 1:6.6 2:3 3:4.400000000000000512 4:1.4
-1 1:6.4 2:2.7 3:5.3 4:1.9
-1 1:6.5 2:3.2 3:5.1 4:2
